;t-t0, hr;Atm. pressure, hPa;Average wind speed, m/s;Humidity %;Precipitation, mm;UV level, W/m2;Wind direction, deg;Wind speed, m/s;temp. C;fMin;fMax;fMaxDark;ABS/RC;DIo/RC;ETo/RC;FI;FJ;FK;Fv;PHI_Eo;PHIo;PI;PSIo;Sm;TRo_RC;VI;VJ;VK;Fo;Fm;Mo;Area;Fv/Fm;altaz, degrees;Insolation, kW/m2
2020-10-15 00:55:09;8725.0;992.00708;0.0;86.93625;0.29788;0.0;357.96458;0.0;12.53602;1123.15;2952.0;2733.2;8.72291;3.16146;2.496;2438.58333;2094.27083;1786.47917;1861.57555;0.27977;0.64733;0.16865;0.44155;42.08499;5.56146;0.73855;0.55845;0.38509;1091.64;2953.21555;3.06545;83134.60238;0.63036;-42.22795;
2020-10-15 01:55:09;8726.0;992.0;0.0;89.9575;0.3;0.0;358.0;0.0;12.22439;1131.65;2951.95;2733.2;8.56823;3.14382;2.48616;2432.44583;2088.65417;1782.58333;1854.77333;0.28322;0.64506;0.17664;0.4487;43.13992;5.42441;0.73223;0.5513;0.37836;1101.22667;2956.0;2.93825;84849.8546;0.62746;-38.9657;
2020-10-15 02:55:09;8727.0;991.01417;0.0;93.94333;0.99008;0.0;357.01417;0.0;12.08198;1131.8;2945.8;2733.2;8.09256;2.94595;2.31062;2423.625;2086.15417;1778.49583;1837.55924;0.28214;0.64239;0.18307;0.44987;44.18676;5.14661;0.72953;0.55013;0.37553;1109.13944;2946.69868;2.83599;85888.18894;0.6236;-33.44774;
2020-10-15 03:55:09;8728.0;991.0;0.0;94.98583;1.39433;0.0;357.0;0.0;11.85326;1139.0;2929.55;2733.2;8.52515;3.15675;2.44916;2407.0;2076.20833;1773.86667;1821.80134;0.28188;0.63983;0.1738;0.45092;45.30485;5.36841;0.7267;0.54908;0.37622;1109.21;2931.01134;2.91925;87293.33591;0.62156;-26.38224;
2020-10-15 04:55:09;8729.0;990.03033;0.0;80.45492;0.04246;0.0;332.7582;0.0;13.16875;1145.3;2911.65;2733.2;8.44775;3.16518;2.43227;2388.6625;2060.8625;1766.52917;1798.24105;0.28201;0.63497;0.17445;0.45543;46.20283;5.28257;0.72224;0.54457;0.37325;1117.37;2915.61105;2.8503;88008.90056;0.61676;-18.40291;
2020-10-15 05:55:09;8730.0;990.0;0.0;79.03083;0.0;0.0;337.815;0.0;13.00648;1155.5;2895.0;2733.2;8.19712;3.15198;2.37383;2372.19167;2047.7875;1761.56667;1766.23242;0.28202;0.62738;0.17912;0.46116;47.37533;5.04513;0.71817;0.53884;0.36911;1132.08167;2898.31409;2.67131;88777.38053;0.6094;-10.01941;
2020-10-15 06:55:09;8731.0;989.03083;0.0;80.93833;0.0;0.0;294.3875;0.0;12.39912;1200.85;2887.3;2733.2;8.31764;3.3115;2.46053;2409.77917;2023.72917;1771.62083;1706.73048;0.29188;0.61452;0.18941;0.49046;46.00733;5.00615;0.72882;0.50954;0.35488;1181.01333;2887.74382;2.54562;81610.58011;0.59103;-1.65534;
2020-10-15 07:55:09;8732.0;989.0;0.0;79.06167;0.0;0.62996;291.06167;1.08547;12.89366;1285.5;2884.65;2733.2;10.49741;4.44811;3.10964;2554.52083;2049.7125;1839.30833;1627.20207;0.30125;0.58565;0.15933;0.51405;31.07985;6.0493;0.79628;0.48595;0.35699;1258.215;2885.41707;2.93966;50419.52761;0.56394;6.29691;0.2770667325199398
2020-10-15 08:55:09;8733.0;989.0;0.0;77.09344;0.0;1.46029;292.90656;0.43364;13.31038;799.8;2004.15;2733.2;10.72911;4.17781;2.78437;1876.9875;1475.12083;1288.81667;1229.68691;0.26371;0.61362;0.12156;0.42707;12.7611;6.5513;0.89884;0.57293;0.42078;774.055;2003.74191;3.76692;16022.77764;0.6137;13.43026;0.5235665521928411
2020-10-15 09:55:09;8734.0;989.0;0.0;69.38;0.0;1.3095;326.3375;0.9715;14.07295;1565.3;2704.85;2733.2;19.07845;11.70723;2.55053;2607.53333;2274.45;2100.41667;1157.43878;0.14565;0.40628;0.0266;0.3528;10.00338;7.37122;0.92756;0.6472;0.4941;1546.23083;2703.66961;4.82069;13112.38084;0.4281;19.29823;0.6421240907093432
